Date,Open,High,Low,Close,Adj Close,Volume
1990-03-09,9.940000,9.940000,9.940000,9.940000,2.681853,0
1990-03-12,9.950000,9.950000,9.950000,9.950000,2.684551,0
1990-03-13,9.900000,9.900000,9.900000,9.900000,2.671060,0
1990-03-14,9.910000,9.910000,9.910000,9.910000,2.673759,0
1990-03-15,9.920000,9.920000,9.920000,9.920000,2.676457,0
1990-03-16,10.010000,10.010000,10.010000,10.010000,2.700739,0
1990-03-19,10.070000,10.070000,10.070000,10.070000,2.716927,0
1990-03-20,10.020000,10.020000,10.020000,10.020000,2.703438,0
1990-03-21,10.000000,10.000000,10.000000,10.000000,2.698041,0
1990-03-22,9.870000,9.870000,9.870000,9.870000,2.662966,0
1990-03-23,9.920000,9.920000,9.920000,9.920000,2.676457,0
1990-03-26,9.970000,9.970000,9.970000,9.970000,2.689947,0
1990-03-27,10.070000,10.070000,10.070000,10.070000,2.716927,0
1990-03-28,10.030000,10.030000,10.030000,10.030000,2.706135,0
1990-03-29,9.980000,9.980000,9.980000,9.980000,2.692645,0
1990-03-30,9.950000,9.950000,9.950000,9.950000,2.684551,0
1990-04-02,9.910000,9.910000,9.910000,9.910000,2.673759,0
1990-04-03,10.030000,10.030000,10.030000,10.030000,2.706135,0
1990-04-04,9.980000,9.980000,9.980000,9.980000,2.692645,0
1990-04-05,9.940000,9.940000,9.940000,9.940000,2.681853,0
1990-04-06,9.840000,9.840000,9.840000,9.840000,2.654872,0
1990-04-09,9.910000,9.910000,9.910000,9.910000,2.673759,0
1990-04-10,10.000000,10.000000,10.000000,10.000000,2.698041,0
1990-04-11,10.020000,10.020000,10.020000,10.020000,2.703438,0
1990-04-12,10.100000,10.100000,10.100000,10.100000,2.725021,0
1990-04-16,10.100000,10.100000,10.100000,10.100000,2.725021,0
1990-04-17,10.100000,10.100000,10.100000,10.100000,2.725021,0
1990-04-18,10.020000,10.020000,10.020000,10.020000,2.703438,0
1990-04-19,9.940000,9.940000,9.940000,9.940000,2.681853,0
1990-04-20,9.880000,9.880000,9.880000,9.880000,2.665664,0
1990-04-23,9.760000,9.760000,9.760000,9.760000,2.633288,0
1990-04-24,9.760000,9.760000,9.760000,9.760000,2.633288,0
1990-04-25,9.820000,9.820000,9.820000,9.820000,2.649476,0
1990-04-26,9.840000,9.840000,9.840000,9.840000,2.654872,0
1990-04-27,9.750000,9.750000,9.750000,9.750000,2.630590,0
1990-04-30,9.805000,9.805000,9.805000,9.805000,2.645429,0
1990-05-01,9.860000,9.860000,9.860000,9.860000,2.660268,0
1990-05-02,9.910000,9.910000,9.910000,9.910000,2.673759,0
1990-05-03,9.940000,9.940000,9.940000,9.940000,2.681853,0
1990-05-04,10.010000,10.010000,10.010000,10.010000,2.700739,0
1990-05-07,10.070000,10.070000,10.070000,10.070000,2.716927,0
1990-05-08,10.100000,10.100000,10.100000,10.100000,2.725021,0
1990-05-09,10.090000,10.090000,10.090000,10.090000,2.722323,0
1990-05-10,10.140000,10.140000,10.140000,10.140000,2.735813,0
1990-05-11,10.350000,10.350000,10.350000,10.350000,2.792472,0
1990-05-14,10.410000,10.410000,10.410000,10.410000,2.808660,0
1990-05-15,10.410000,10.410000,10.410000,10.410000,2.808660,0
1990-05-16,10.420000,10.420000,10.420000,10.420000,2.811359,0
1990-05-17,10.460000,10.460000,10.460000,10.460000,2.822151,0
1990-05-18,10.530000,10.530000,10.530000,10.530000,2.841037,0
1990-05-21,10.680000,10.680000,10.680000,10.680000,2.881507,0
1990-05-22,10.690000,10.690000,10.690000,10.690000,2.884206,0
1990-05-23,10.750000,10.750000,10.750000,10.750000,2.900394,0
1990-05-24,10.750000,10.750000,10.750000,10.750000,2.900394,0
1990-05-25,10.650000,10.650000,10.650000,10.650000,2.873413,0
1990-05-29,10.770000,10.770000,10.770000,10.770000,2.905790,0
1990-05-30,10.760000,10.760000,10.760000,10.760000,2.903092,0
1990-05-31,10.760000,10.760000,10.760000,10.760000,2.903092,0
1990-06-01,10.840000,10.840000,10.840000,10.840000,2.924677,0
1990-06-04,10.930000,10.930000,10.930000,10.930000,2.948959,0
1990-06-05,10.880000,10.880000,10.880000,10.880000,2.935469,0
1990-06-06,10.850000,10.850000,10.850000,10.850000,2.927375,0
1990-06-07,10.840000,10.840000,10.840000,10.840000,2.924677,0
1990-06-08,10.730000,10.730000,10.730000,10.730000,2.894999,0
1990-06-11,10.770000,10.770000,10.770000,10.770000,2.905790,0
1990-06-12,10.860000,10.860000,10.860000,10.860000,2.930072,0
1990-06-13,10.850000,10.850000,10.850000,10.850000,2.927375,0
1990-06-14,10.790000,10.790000,10.790000,10.790000,2.911186,0
1990-06-15,10.760000,10.760000,10.760000,10.760000,2.903092,0
1990-06-18,10.610000,10.610000,10.610000,10.610000,2.862622,0
1990-06-19,10.630000,10.630000,10.630000,10.630000,2.868018,0
1990-06-20,10.620000,10.620000,10.620000,10.620000,2.865319,0
1990-06-21,10.640000,10.640000,10.640000,10.640000,2.870715,0
1990-06-22,10.550000,10.550000,10.550000,10.550000,2.846433,0
1990-06-25,10.450000,10.450000,10.450000,10.450000,2.819453,0
1990-06-26,10.400000,10.400000,10.400000,10.400000,2.805962,0
1990-06-27,10.450000,10.450000,10.450000,10.450000,2.819453,0
1990-06-28,10.560000,10.560000,10.560000,10.560000,2.849132,0
1990-06-29,10.575000,10.575000,10.575000,10.575000,2.853179,0
1990-07-02,10.680000,10.680000,10.680000,10.680000,2.881507,0
1990-07-03,10.630000,10.630000,10.630000,10.630000,2.868018,0
1990-07-05,10.540000,10.540000,10.540000,10.540000,2.843735,0
1990-07-06,10.580000,10.580000,10.580000,10.580000,2.854527,0
1990-07-09,10.630000,10.630000,10.630000,10.630000,2.868018,0
1990-07-10,10.600000,10.600000,10.600000,10.600000,2.859923,0
1990-07-11,10.730000,10.730000,10.730000,10.730000,2.894999,0
1990-07-12,10.850000,10.850000,10.850000,10.850000,2.927375,0
1990-07-13,10.870000,10.870000,10.870000,10.870000,2.932770,0
1990-07-16,10.930000,10.930000,10.930000,10.930000,2.948959,0
1990-07-17,10.830000,10.830000,10.830000,10.830000,2.921978,0
1990-07-18,10.720000,10.720000,10.720000,10.720000,2.892300,0
1990-07-19,10.660000,10.660000,10.660000,10.660000,2.876111,0
1990-07-20,10.540000,10.540000,10.540000,10.540000,2.843735,0
1990-07-23,10.370000,10.370000,10.370000,10.370000,2.797868,0
1990-07-24,10.320000,10.320000,10.320000,10.320000,2.784379,0
1990-07-25,10.350000,10.350000,10.350000,10.350000,2.792472,0
1990-07-26,10.350000,10.350000,10.350000,10.350000,2.792472,0
1990-07-27,10.250000,10.250000,10.250000,10.250000,2.765492,0
1990-07-30,10.230000,10.230000,10.230000,10.230000,2.760096,0
1990-07-31,10.200000,10.200000,10.200000,10.200000,2.752001,0
1990-08-01,10.190000,10.190000,10.190000,10.190000,2.749303,0
1990-08-02,10.060000,10.060000,10.060000,10.060000,2.714230,0
1990-08-03,9.850000,9.850000,9.850000,9.850000,2.657570,0
1990-08-06,9.500000,9.500000,9.500000,9.500000,2.563139,0
1990-08-07,9.520000,9.520000,9.520000,9.520000,2.568536,0
1990-08-08,9.620000,9.620000,9.620000,9.620000,2.595515,0
1990-08-09,9.710000,9.710000,9.710000,9.710000,2.619798,0
1990-08-10,9.610000,9.610000,9.610000,9.610000,2.592817,0
1990-08-13,9.650000,9.650000,9.650000,9.650000,2.603609,0
1990-08-14,9.690000,9.690000,9.690000,9.690000,2.614402,0
1990-08-15,9.710000,9.710000,9.710000,9.710000,2.619798,0
1990-08-16,9.500000,9.500000,9.500000,9.500000,2.563139,0
1990-08-17,9.340000,9.340000,9.340000,9.340000,2.519970,0
1990-08-20,9.290000,9.290000,9.290000,9.290000,2.506480,0
1990-08-21,9.130000,9.130000,9.130000,9.130000,2.463311,0
1990-08-22,8.990000,8.990000,8.990000,8.990000,2.425539,0
1990-08-23,8.740000,8.740000,8.740000,8.740000,2.358088,0
1990-08-24,8.940000,8.940000,8.940000,8.940000,2.412049,0
1990-08-27,9.230000,9.230000,9.230000,9.230000,2.490292,0
1990-08-28,9.240000,9.240000,9.240000,9.240000,2.492990,0
1990-08-29,9.250000,9.250000,9.250000,9.250000,2.495688,0
1990-08-30,9.150000,9.150000,9.150000,9.150000,2.468708,0
1990-08-31,9.215000,9.215000,9.215000,9.215000,2.486245,0
1990-09-04,9.250000,9.250000,9.250000,9.250000,2.495688,0
1990-09-05,9.270000,9.270000,9.270000,9.270000,2.501084,0
1990-09-06,9.180000,9.180000,9.180000,9.180000,2.476801,0
1990-09-07,9.230000,9.230000,9.230000,9.230000,2.490292,0
1990-09-10,9.260000,9.260000,9.260000,9.260000,2.498385,0
1990-09-11,9.220000,9.220000,9.220000,9.220000,2.487594,0
1990-09-12,9.290000,9.290000,9.290000,9.290000,2.506480,0
1990-09-13,9.190000,9.190000,9.190000,9.190000,2.479499,0
1990-09-14,9.120000,9.120000,9.120000,9.120000,2.460614,0
1990-09-17,9.120000,9.120000,9.120000,9.120000,2.460614,0
1990-09-18,9.090000,9.090000,9.090000,9.090000,2.452520,0
1990-09-19,9.040000,9.040000,9.040000,9.040000,2.439030,0
1990-09-20,8.880000,8.880000,8.880000,8.880000,2.395860,0
1990-09-21,8.830000,8.830000,8.830000,8.830000,2.382370,0
1990-09-24,8.640000,8.640000,8.640000,8.640000,2.331107,0
1990-09-25,8.790000,8.790000,8.790000,8.790000,2.371578,0
1990-09-26,8.740000,8.740000,8.740000,8.740000,2.358088,0
